data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-02-07,inconsistent,0,6
2021-06-25,2021-02-07,consistent,0,26
2021-06-25,2021-02-06,inconsistent,0,4
2021-06-25,2021-02-06,consistent,1,201
2021-06-25,2021-02-05,inconsistent,0,129
2021-06-25,2021-02-05,consistent,1,859
2021-06-25,2021-02-04,inconsistent,0,13
2021-06-25,2021-02-04,consistent,1,723
2021-06-25,2021-02-03,inconsistent,0,6
2021-06-25,2021-02-03,consistent,1,1160
2021-06-25,2021-02-02,inconsistent,0,53
2021-06-25,2021-02-02,consistent,1,787
2021-06-25,2021-02-01,inconsistent,0,8
2021-06-25,2021-02-01,consistent,0,413
