data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-01-31,inconsistent,0,2
2021-06-25,2021-01-31,consistent,0,4
2021-06-25,2021-01-30,inconsistent,0,4
2021-06-25,2021-01-30,consistent,1,1059
2021-06-25,2021-01-29,inconsistent,0,28
2021-06-25,2021-01-29,consistent,1,905
2021-06-25,2021-01-28,inconsistent,0,8
2021-06-25,2021-01-28,consistent,1,761
2021-06-25,2021-01-27,inconsistent,0,33
2021-06-25,2021-01-27,consistent,1,692
2021-06-25,2021-01-26,inconsistent,0,10
2021-06-25,2021-01-26,consistent,1,862
2021-06-25,2021-01-25,inconsistent,0,21
2021-06-25,2021-01-25,consistent,1,1419
