data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-06-13,consistent,2,745
2021-06-29,2021-06-12,inconsistent,0,2
2021-06-29,2021-06-12,consistent,12,31064
2021-06-29,2021-06-11,inconsistent,0,42
2021-06-29,2021-06-11,consistent,11,24488
2021-06-29,2021-06-10,inconsistent,0,48
2021-06-29,2021-06-10,consistent,11,24304
2021-06-29,2021-06-08,inconsistent,0,2
2021-06-29,2021-06-08,consistent,103,23745
2021-06-29,2021-06-07,inconsistent,0,8
2021-06-29,2021-06-07,consistent,102,18821
