data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-05-09,inconsistent,1,2
2021-06-29,2021-05-09,consistent,47,166
2021-06-29,2021-05-08,consistent,57,14738
2021-06-29,2021-05-07,inconsistent,1,142
2021-06-29,2021-05-07,consistent,64,15068
2021-06-29,2021-05-06,inconsistent,0,20
2021-06-29,2021-05-06,consistent,104,14014
2021-06-29,2021-05-05,inconsistent,0,20
2021-06-29,2021-05-05,consistent,46,12309
2021-06-29,2021-05-04,inconsistent,0,14
2021-06-29,2021-05-04,consistent,35,10012
2021-06-29,2021-05-03,inconsistent,1,110
2021-06-29,2021-05-03,consistent,59,8390
