data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-04-25,consistent,9,461
2021-06-29,2021-04-24,inconsistent,0,6
2021-06-29,2021-04-24,consistent,51,12480
2021-06-29,2021-04-23,inconsistent,0,174
2021-06-29,2021-04-23,consistent,21,20999
2021-06-29,2021-04-22,inconsistent,0,230
2021-06-29,2021-04-22,consistent,29,26279
2021-06-29,2021-04-21,inconsistent,0,4
2021-06-29,2021-04-21,consistent,12,10136
2021-06-29,2021-04-20,inconsistent,1,220
2021-06-29,2021-04-20,consistent,62,26369
2021-06-29,2021-04-19,inconsistent,1,133
2021-06-29,2021-04-19,consistent,87,18301
