data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-03-07,inconsistent,0,2
2021-06-29,2021-03-07,consistent,1,13
2021-06-29,2021-03-06,inconsistent,0,14
2021-06-29,2021-03-06,consistent,3,4071
2021-06-29,2021-03-05,inconsistent,0,171
2021-06-29,2021-03-05,consistent,4,7920
2021-06-29,2021-03-04,inconsistent,0,194
2021-06-29,2021-03-04,consistent,6,8141
2021-06-29,2021-03-03,inconsistent,0,300
2021-06-29,2021-03-03,consistent,7,11936
2021-06-29,2021-03-02,inconsistent,0,160
2021-06-29,2021-03-02,consistent,5,10238
2021-06-29,2021-03-01,inconsistent,0,98
2021-06-29,2021-03-01,consistent,4,6320
