data_atualizacao,tipo,total
2021-05-22,missing_demography,10
2021-05-22,data,2657
2021-05-22,missing_demography,10
2021-05-22,data,2657
2021-05-22,missing_demography,10
2021-05-22,data,2657
2021-05-22,missing_demography,10
2021-05-22,data,2657
2021-05-22,missing_demography,10
2021-05-22,data,2657
2021-05-22,missing_demography,10
2021-05-22,complete,2657
