data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-03-07,inconsistent,0,9
2021-06-29,2021-03-07,consistent,2,544
2021-06-29,2021-03-06,inconsistent,0,247
2021-06-29,2021-03-06,consistent,3,2675
2021-06-29,2021-03-05,inconsistent,0,494
2021-06-29,2021-03-05,consistent,4,6968
2021-06-29,2021-03-04,inconsistent,0,439
2021-06-29,2021-03-04,consistent,4,6899
2021-06-29,2021-03-03,inconsistent,0,688
2021-06-29,2021-03-03,consistent,4,5782
2021-06-29,2021-03-02,inconsistent,0,358
2021-06-29,2021-03-02,consistent,4,6361
2021-06-29,2021-03-01,inconsistent,0,394
2021-06-29,2021-03-01,consistent,4,4593
