data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-04-04,inconsistent,0,2
2021-06-29,2021-04-04,consistent,2,3997
2021-06-29,2021-04-03,inconsistent,0,355
2021-06-29,2021-04-03,consistent,10,20248
2021-06-29,2021-04-02,inconsistent,0,10
2021-06-29,2021-04-02,consistent,3,8420
2021-06-29,2021-04-01,inconsistent,0,354
2021-06-29,2021-04-01,consistent,3,5677
2021-06-29,2021-03-31,inconsistent,0,334
2021-06-29,2021-03-31,consistent,6,10247
2021-06-29,2021-03-30,inconsistent,0,684
2021-06-29,2021-03-30,consistent,5,13746
2021-06-29,2021-03-29,inconsistent,0,788
2021-06-29,2021-03-29,consistent,6,9917
