data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-03-21,inconsistent,0,10
2021-06-29,2021-03-21,consistent,2,1373
2021-06-29,2021-03-20,inconsistent,0,80
2021-06-29,2021-03-20,consistent,4,6360
2021-06-29,2021-03-19,inconsistent,0,417
2021-06-29,2021-03-19,consistent,6,12299
2021-06-29,2021-03-18,inconsistent,0,426
2021-06-29,2021-03-18,consistent,3,5867
2021-06-29,2021-03-17,inconsistent,0,292
2021-06-29,2021-03-17,consistent,4,4858
2021-06-29,2021-03-16,inconsistent,0,313
2021-06-29,2021-03-16,consistent,4,4770
2021-06-29,2021-03-15,inconsistent,0,282
2021-06-29,2021-03-15,consistent,4,6194
