data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-02-14,inconsistent,0,15
2021-06-29,2021-02-14,consistent,3,147
2021-06-29,2021-02-13,inconsistent,0,25
2021-06-29,2021-02-13,consistent,1,2994
2021-06-29,2021-02-12,inconsistent,0,421
2021-06-29,2021-02-12,consistent,3,11025
2021-06-29,2021-02-11,inconsistent,0,394
2021-06-29,2021-02-11,consistent,3,11202
2021-06-29,2021-02-10,inconsistent,0,369
2021-06-29,2021-02-10,consistent,3,9461
2021-06-29,2021-02-09,inconsistent,0,325
2021-06-29,2021-02-09,consistent,3,6886
2021-06-29,2021-02-08,inconsistent,0,183
2021-06-29,2021-02-08,consistent,2,4307
