data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-01-31,inconsistent,0,4
2021-06-25,2021-01-31,consistent,0,769
2021-06-25,2021-01-30,inconsistent,0,18
2021-06-25,2021-01-30,consistent,1,2442
2021-06-25,2021-01-29,inconsistent,0,82
2021-06-25,2021-01-29,consistent,2,5490
2021-06-25,2021-01-28,inconsistent,0,96
2021-06-25,2021-01-28,consistent,2,6222
2021-06-25,2021-01-27,inconsistent,0,74
2021-06-25,2021-01-27,consistent,2,6649
2021-06-25,2021-01-26,inconsistent,0,144
2021-06-25,2021-01-26,consistent,3,7891
2021-06-25,2021-01-25,inconsistent,0,173
2021-06-25,2021-01-25,consistent,1,4578
