data_atualizacao,tipo,media_tempo_gasto,total
2021-05-27,inconsistent,0,32
2021-05-27,consistent,20,13787
2021-05-26,inconsistent,0,32
2021-05-26,consistent,19,13773
2021-05-23,consistent,1,435
