data_atualizacao,tipo,media_tempo_gasto,total
2021-05-25,inconsistent,13,8248
2021-05-25,consistent,46,29207
2021-05-24,inconsistent,6,8234
2021-05-24,consistent,22,29022
2021-05-22,inconsistent,7,8234
2021-05-22,consistent,25,29022
