data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-05-02,inconsistent,0,117
2021-06-25,2021-05-01,inconsistent,1,3742
2021-06-25,2021-05-01,consistent,3,14690
2021-06-25,2021-04-29,inconsistent,7,31882
2021-06-25,2021-04-29,consistent,28,133346
2021-06-25,2021-04-28,inconsistent,3,16299
2021-06-25,2021-04-28,consistent,24,144015
2021-06-25,2021-04-27,inconsistent,2,11429
2021-06-25,2021-04-27,consistent,19,123209
2021-06-25,2021-04-26,inconsistent,2,11955
2021-06-25,2021-04-26,consistent,22,163013
