data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-02-13,inconsistent,2,13796
2021-06-25,2021-02-13,consistent,4,30965
2021-06-25,2021-02-12,inconsistent,11,75306
2021-06-25,2021-02-12,consistent,22,151525
2021-06-25,2021-02-11,inconsistent,5,36884
2021-06-25,2021-02-11,consistent,18,123535
2021-06-25,2021-02-10,inconsistent,3,19048
2021-06-25,2021-02-10,consistent,11,75079
2021-06-25,2021-02-09,inconsistent,4,20345
2021-06-25,2021-02-09,consistent,13,69013
2021-06-25,2021-02-08,inconsistent,6,31872
2021-06-25,2021-02-08,consistent,16,84953
