data_atualizacao,tipo,media_tempo_gasto,total
2021-05-27,inconsistent,0,188
2021-05-27,consistent,158,108688
2021-05-26,inconsistent,0,168
2021-05-26,consistent,148,108403
2021-05-23,consistent,2,1372
