data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-04-04,inconsistent,0,71
2021-06-25,2021-04-04,consistent,3,4312
2021-06-25,2021-04-02,inconsistent,0,1611
2021-06-25,2021-04-02,consistent,17,57841
2021-06-25,2021-04-01,inconsistent,1,4229
2021-06-25,2021-04-01,consistent,21,103279
2021-06-25,2021-03-31,inconsistent,1,4051
2021-06-25,2021-03-31,consistent,23,109837
2021-06-25,2021-03-30,inconsistent,1,3676
2021-06-25,2021-03-30,consistent,28,111086
2021-06-25,2021-03-29,inconsistent,2,5636
2021-06-25,2021-03-29,consistent,46,162187
