data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-03-28,inconsistent,0,481
2021-06-25,2021-03-28,consistent,5,11965
2021-06-25,2021-03-27,inconsistent,1,4348
2021-06-25,2021-03-27,consistent,25,99157
2021-06-25,2021-03-26,inconsistent,7,23885
2021-06-25,2021-03-26,consistent,81,286185
2021-06-25,2021-03-25,inconsistent,3,12659
2021-06-25,2021-03-25,consistent,39,164909
2021-06-25,2021-03-24,inconsistent,2,12362
2021-06-25,2021-03-24,consistent,27,147463
2021-06-25,2021-03-23,inconsistent,6,26021
2021-06-25,2021-03-23,consistent,20,86130
2021-06-25,2021-03-22,inconsistent,13,51879
2021-06-25,2021-03-22,consistent,28,114161
