data_atualizacao,tipo,media_tempo_gasto,total
2021-05-25,inconsistent,29,11441
2021-05-25,consistent,61,24633
2021-05-24,inconsistent,20,11431
2021-05-24,consistent,42,24553
2021-05-22,inconsistent,6,11431
2021-05-22,consistent,14,24553
