data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-06-06,consistent,6,7184
2021-06-25,2021-06-04,inconsistent,0,294
2021-06-25,2021-06-04,consistent,19,122997
2021-06-25,2021-06-03,inconsistent,0,72
2021-06-25,2021-06-03,consistent,13,104545
2021-06-25,2021-06-02,inconsistent,0,1654
2021-06-25,2021-06-02,consistent,32,248618
2021-06-25,2021-06-01,inconsistent,0,1487
2021-06-25,2021-06-01,consistent,22,191676
2021-06-25,2021-05-31,inconsistent,0,1107
2021-06-25,2021-05-31,consistent,32,159599
