data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-02-07,inconsistent,0,2200
2021-06-25,2021-02-07,consistent,2,8441
2021-06-25,2021-02-06,inconsistent,2,8269
2021-06-25,2021-02-06,consistent,6,29460
2021-06-25,2021-02-05,inconsistent,6,34271
2021-06-25,2021-02-05,consistent,15,84093
2021-06-25,2021-02-04,inconsistent,7,38245
2021-06-25,2021-02-04,consistent,15,87563
2021-06-25,2021-02-03,inconsistent,5,28277
2021-06-25,2021-02-03,consistent,11,62538
2021-06-25,2021-02-02,inconsistent,5,26267
2021-06-25,2021-02-02,consistent,8,46031
2021-06-25,2021-02-01,inconsistent,3,23895
2021-06-25,2021-02-01,consistent,5,39948
